"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Khris Middleton",5200,"Mil@Tor 07:30PM ET",25.587,"Mil"
"SG","Alec Burks",5200,"OKC@Uta 09:00PM ET",24.500,"Uta"
"C","Ian Mahinmi",5100,"Mia@Ind 07:00PM ET",23.211,"Ind"
"PG","Goran Dragic",5100,"Mia@Ind 07:00PM ET",23.875,"Mia"
"SF","Al-Farouq Aminu",5100,"Por@Pho 09:30PM ET",25.065,"Por"
"SF","Jerami Grant",5100,"Det@Phi 07:00PM ET",22.909,"Phi"
"PG","Zach LaVine",5100,"Min@Den 09:00PM ET",24.857,"Min"
"PG","Mo Williams",5000,"Cle@Orl 07:00PM ET",24.278,"Cle"
"SG","Rodney Stuckey",5000,"Mia@Ind 07:00PM ET",20.733,"Ind"
"SG","Eric Gordon",5000,"Was@NO 08:00PM ET",25.821,"NO"
"PF","Markieff Morris",5000,"Por@Pho 09:30PM ET",21.847,"Pho"
"PG","Isaiah Canaan",5000,"Det@Phi 07:00PM ET",20.011,"Phi"
"C","Gorgui Dieng",5000,"Min@Den 09:00PM ET",20.155,"Min"
"C","Alex Len",5000,"Por@Pho 09:30PM ET",17.478,"Pho"
"C","Jusuf Nurkic",5000,"Min@Den 09:00PM ET",0,"Den"
"PG","Jerryd Bayless",4900,"Mil@Tor 07:30PM ET",24.158,"Mil"
"SG","Evan Turner",4900,"GS@Bos 07:30PM ET",22.489,"Bos"
"C","Bismack Biyombo",4900,"Mil@Tor 07:30PM ET",17.011,"Tor"
"PF","Jabari Parker",4900,"Mil@Tor 07:30PM ET",18.618,"Mil"
"PF","Ersan Ilyasova",4800,"Det@Phi 07:00PM ET",19.565,"Det"
"PG","Lou Williams",4800,"LAL@SA 09:30PM ET",21.938,"LAL"
"PF","Trevor Booker",4800,"OKC@Uta 09:00PM ET",16.868,"Uta"
"PG","D'Angelo Russell",4800,"LAL@SA 09:30PM ET",23.523,"LAL"
"SF","Jeff Green",4700,"Cha@Mem 08:00PM ET",18.978,"Mem"
"PF","Amir Johnson",4700,"GS@Bos 07:30PM ET",21.330,"Bos"
"PF","Jordan Hill",4700,"Mia@Ind 07:00PM ET",22.694,"Ind"
"PF","Cody Zeller",4700,"Cha@Mem 08:00PM ET",17.658,"Cha"
"PG","Marcus Smart",4700,"GS@Bos 07:30PM ET",23.278,"Bos"
"PF","Darrell Arthur",4600,"Min@Den 09:00PM ET",15.762,"Den"
"PG","Matthew Dellavedova",4600,"Cle@Orl 07:00PM ET",21.175,"Cle"
"PG","T.J. McConnell",4600,"Det@Phi 07:00PM ET",23.602,"Phi"
"C","Enes Kanter",4600,"OKC@Uta 09:00PM ET",23.345,"OKC"
"SG","Kentavious Caldwell-Pope",4600,"Det@Phi 07:00PM ET",23.163,"Det"
"SG","Rodney Hood",4600,"OKC@Uta 09:00PM ET",22.039,"Uta"
